pixel: 145, index: 5, match: 121, color: purple
pixel: 146, index: 5, match: 121, color: purple
pixel: 146, index: 5, match: 121, color: purple
pixel: 140, index: 5, match: 121, color: purple
pixel: 146, index: 5, match: 121, color: purple
pixel: 140, index: 5, match: 121, color: purple
pixel: 146, index: 5, match: 121, color: purple
pixel: 140, index: 5, match: 121, color: purple
pixel: 146, index: 5, match: 121, color: purple
pixel: 110, index: 5, match: 121, color: purple
pixel: 140, index: 5, match: 121, color: purple
pixel: 146, index: 5, match: 121, color: purple
pixel: 146, index: 5, match: 121, color: purple
pixel: 140, index: 5, match: 121, color: purple
pixel: 146, index: 5, match: 121, color: purple
pixel: 140, index: 5, match: 121, color: purple
pixel: 146, index: 5, match: 121, color: purple
pixel: 146, index: 5, match: 121, color: purple
pixel: 140, index: 5, match: 121, color: purple
pixel: 146, index: 5, match: 121, color: purple
pixel: 146, index: 5, match: 121, color: purple
pixel: 140, index: 5, match: 121, color: purple
pixel: 146, index: 5, match: 121, color: purple
pixel: 140, index: 5, match: 121, color: purple
pixel: 146, index: 5, match: 121, color: purple
pixel: 140, index: 5, match: 121, color: purple
pixel: 146, index: 5, match: 121, color: purple
pixel: 140, index: 5, match: 121, color: purple
pixel: 146, index: 5, match: 121, color: purple
pixel: 140, index: 5, match: 121, color: purple
pixel: 140, index: 5, match: 121, color: purple
pixel: 146, index: 5, match: 121, color: purple
pixel: 140, index: 5, match: 121, color: purple
pixel: 140, index: 5, match: 121, color: purple
pixel: 146, index: 5, match: 121, color: purple
